,movie name,actors,rating,year,director
0,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.22,1994,Frank Darabont
1,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.15,1972,Francis Ford Coppola
2,The Godfather: Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.98,1974,Francis Ford Coppola
3,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.97,2008,Christopher Nolan
4,12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.93,1957,Sidney Lumet
5,Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,1993,Steven Spielberg
6,The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.88,2003,Peter Jackson
7,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.85,1994,Quentin Tarantino
8,"Il buono, il brutto, il cattivo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,1966,Sergio Leone
9,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.77,2001,Peter Jackson
10,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",8.77,1999,David Fincher
11,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.75,1994,Robert Zemeckis
12,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.72,2010,Christopher Nolan
13,Star Wars: Episode V - The Empire Strikes Back,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,1980,Irvin Kershner
14,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,2002,Peter Jackson
15,The Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.65,1999,Lana Wachowski
16,Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.64,1990,Martin Scorsese
17,One Flew Over the Cuckoo's Nest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.64,1975,Milos Forman
18,Shichinin no samurai,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,1954,Akira Kurosawa
19,Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.59,1995,David Fincher
20,La vita è bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.58,1997,Roberto Benigni
21,Cidade de Deus,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.58,2002,Fernando Meirelles
22,The Silence of the Lambs,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.57,1991,Jonathan Demme
23,It's a Wonderful Life,"Frank Capra (dir.), James Stewart, Donna Reed",8.57,1946,Frank Capra
24,Star Wars,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.56,1977,George Lucas
25,Saving Private Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.55,1998,Steven Spielberg
26,Gisaengchung,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.55,2019,Bong Joon Ho
27,Sen to Chihiro no kamikakushi,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.54,2001,Hayao Miyazaki
28,The Green Mile,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.53,1999,Frank Darabont
29,Interstellar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.53,2014,Christopher Nolan
30,Léon,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.51,1994,Luc Besson
31,The Usual Suspects,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.51,1995,Bryan Singer
32,Seppuku,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.5,1962,Masaki Kobayashi
33,The Lion King,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.49,1994,Roger Allers
34,American History X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.49,1998,Tony Kaye
35,The Pianist,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.49,2002,Roman Polanski
36,Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.48,1991,James Cameron
37,Back to the Future,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.48,1985,Robert Zemeckis
38,Modern Times,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.48,1936,Charles Chaplin
39,Psycho,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.48,1960,Alfred Hitchcock
40,Gladiator,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.48,2000,Ridley Scott
41,City Lights,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.47,1931,Charles Chaplin
42,The Departed,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.47,2006,Martin Scorsese
43,The Intouchables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.47,2011,Olivier Nakache
44,Whiplash,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.47,2014,Damien Chazelle
45,The Prestige,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.46,2006,Christopher Nolan
46,Once Upon a Time in the West,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.45,1968,Sergio Leone
47,Hotaru no haka,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.45,1988,Isao Takahata
48,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.44,1942,Michael Curtiz
49,Nuovo Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.43,1988,Giuseppe Tornatore
50,Rear Window,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.43,1954,Alfred Hitchcock
51,Joker,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.43,2019,Todd Phillips
52,Alien,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.42,1979,Ridley Scott
53,Apocalypse Now,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.42,1979,Francis Ford Coppola
54,Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.42,2000,Christopher Nolan
55,Raiders of the Lost Ark,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.42,1981,Steven Spielberg
56,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.41,1940,Charles Chaplin
57,The Lives of Others,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.39,2006,Florian Henckel von Donnersmarck
58,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.39,2012,Quentin Tarantino
59,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.37,1957,Stanley Kubrick
60,The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.37,1980,Stanley Kubrick
61,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.37,2018,Anthony Russo
62,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.37,2008,Andrew Stanton
63,Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.36,1950,Billy Wilder
64,Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.36,2018,Bob Persichetti
65,Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.35,1997,Hayao Miyazaki
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.35,1964,Stanley Kubrick
67,Oldeuboi,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",8.35,2003,Chan-wook Park
68,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.35,1957,Billy Wilder
69,Anand,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",8.34,1971,Hrishikesh Mukherjee
70,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.34,2019,Anthony Russo
71,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.34,2012,Christopher Nolan
72,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",8.33,1984,Sergio Leone
73,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.33,1986,James Cameron
74,Kimi no na wa.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.32,2016,Makoto Shinkai
75,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.31,2017,Lee Unkrich
76,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.31,1999,Sam Mendes
77,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,1995,Mel Gibson
78,Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,1981,Wolfgang Petersen
79,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,2009,Rajkumar Hirani
